Table 1
word	Final_rating													
Abfeuern	bad													
Abschlag	bad													
Abtasten	bad													
Abwurf	bad													
Ahle	bad													
Akrobat	bad													
Amboß	bad													
Anfassen	bad													
Anzünden	bad													
Apparatur	bad													
Arbeiter	bad													
Arbeiterin	bad													
Arbeitsblatt	bad													
Armatur	bad													
Aufhänger	bad													
Aufschlag	bad													
Aufschneider	bad													
Aushang	bad													
Azubi	bad													
Backgammon	bad													
Backofen	bad													
Bademeister	bad													
Balg	bad													
Ballerina	bad													
Bastler	bad													
Bausch	bad													
Bauteil	bad													
Bearbeiterin	bad													
Beckmesser	bad													
Bildtelefon	bad													
Blumenkübel	bad													
Bogenschütze	bad													
Bohle	bad													
Bootsführer	bad													
Boß	bad													
Brezel	bad													
Brief	bad													
Briefkasten	bad													
Briefträger	bad													
Cartoon	bad													
Dachdecker	bad													
Demo	bad													
Drahtesel	bad													
Druckschrift	bad													
Dung	bad													
Eckstoß	bad													
Eierbecher	bad													
Einbrecher	bad													
Einkäufer	bad													
Einparken	bad													
Erfinderin	bad													
Espresso	bad													
Eßlöffel	bad													
Fang	bad													
Fechter	bad													
Feder	bad													
Fender	bad													
Festumzug	bad													
Festzug	bad													
Feuergefecht	bad													
Feuerzeug	bad													
Flamenco	bad													
Fliesenleger	bad													
Flugblatt	bad													
Formteil	bad													
Frau	bad													
Fritte	bad													
Fuchtel	bad													
Fuhrpark	bad													
Fund	bad													
Fußpfleger	bad													
Fußtritt	bad													
Fütterung	bad													
Gegenstand	bad													
Gegner	bad													
Gerät	bad													
Gerätschaft	bad													
Gewichtheber	bad													
Glasbläserei	bad													
Glöckchen	bad													
Golfspieler	bad													
Greifer	bad													
Grimasse	bad													
Großaufnahme	bad													
Hackbrett	bad													
Haftrichter	bad													
Halfter	bad													
Halter	bad													
Hämmern	bad													
Händedruck	bad													
Handheld	bad													
Handschlag	bad													
Handspiel	bad													
Handstreich	bad													
Handwagen	bad													
Handzettel	bad													
Hänger	bad													
Hardware	bad													
Haspel	bad													
Hausierer	bad													
Hebel	bad													
Heber	bad													
Heimwerker	bad													
Herausgabe	bad													
Herdplatte	bad													
Hersteller	bad													
Hippe	bad													
Höhenmesser	bad													
Holzfäller	bad													
Holzwurm	bad													
Horn	bad													
Hufschmied	bad													
Hüpfen	bad													
Hüpfer	bad													
Imker	bad													
Inhalt	bad													
Inventar	bad													
Jongleur	bad													
Kampfrichter	bad													
Kanne	bad													
Katechismus	bad													
Kegler	bad													
Kehrmaschine	bad													
Kendo	bad													
Kind	good													
Kinderbett	bad													
Kinderfrau	bad													
Kinderwagen	bad													
Kinderzimmer	bad													
Klappe	bad													
Klatsche	bad													
Klatschen	bad													
Klemme	bad													
Klempner	bad													
Klinge	action													
Klinke	bad													
Klopfen	bad													
Klopfer	bad													
Klotz	bad													
Knallkörper	bad													
Knarre	bad													
Knistern	bad													
Knüppel	bad													
Konditor	bad													
Kopfball	bad													
Kopfnicken	bad													
Kopfstoß	bad													
Korb	bad													
Korpus	bad													
Krabbeln	bad													
Kraftrad	bad													
Kratzen	bad													
Krempel	bad													
Kribbeln	bad													
Kriecher	bad													
Krippe	bad													
Kuchen	bad													
Kutscher	bad													
Lackierer	bad													
Ladegerät	bad													
Langfinger	bad													
Lauffeuer	bad													
Lebkuchen	bad													
Lehrbuch	bad													
Lehrplan	bad													
Löffel	bad													
Maus	bad													
Melken	bad													
Menschenraub	bad													
Metall	bad													
Miststück	bad													
Mitspieler	bad													
Mühlstein	bad													
Mundschutz	bad													
Nachbau	bad													
Nachschlag	bad													
Näherin	bad													
Nickerchen	bad													
Ortheil	bad													
Partnerin	bad													
Pausenbrot	bad													
Percussion	bad													
Pflüger	bad													
Pirouette	bad													
Planierraupe	bad													
Platzverweis	bad													
Plotter	bad													
Pokern	bad													
Polin	bad													
Polizistin	bad													
Pulli	bad													
Puppenspiel	bad													
Quaken	bad													
Quarterback	bad													
Querschläger	bad													
Quietschen	bad													
Randalierer	bad													
Raubüberfall	bad													
Rechtshänder	bad													
Rehkitz	bad													
Ringkampf	bad													
Ringrichter	bad													
Röckchen	bad													
Rufer	bad													
Saite	good													
Sandkasten	bad													
Sandkiste	bad													
Sandsack	bad													
Sauger	bad													
Sauna	bad													
Saustall	bad													
Schach	bad													
Schalmei	bad													
Schaustück	bad													
Scheller	bad													
Schläfchen	bad													
Schlagfall	bad													
Schlagloch	bad													
Schlagmann	bad													
Schleifer	good													
Schleifstein	bad													
Schriftsatz	bad													
Schuhmacher	bad													
Schweißnaht	bad													
Sensenmann	bad													
Setzer	bad													
Snowboarder	bad													
Software	bad													
Spaziergang	bad													
Spieler	bad													
Spielerin	bad													
Spielplatz	bad													
Spielstand	bad													
Spielzug	bad													
Spieß	bad													
Spießer	bad													
Sportstudio	bad													
Sprengstoff	good													
Spritzer	bad													
Spucke	bad													
Steckenpferd	bad													
Steg	bad													
Steinschlag	bad													
Stierkampf	bad													
Stöckchen	bad													
Stolpern	bad													
Stoß	bad													
Stoßzahn	bad													
Streich	bad													
Streicheln	bad													
Striptease	bad													
Stück	bad													
Stuntman	bad													
Tachometer	bad													
Taktstock	bad													
Tamtam	bad													
Tänzerin	bad													
Tape	bad													
Taschendieb	bad													
Tasse	bad													
Taste	bad													
Tastendruck	bad													
Taubenschlag	bad													
Teilnehmerin	bad													
Tip	bad													
Tischler	bad													
Töpfchen	bad													
Töpferei	bad													
Torhüter	bad													
Torwart	bad													
Totschläger	bad													
Trampen	bad													
Trick	bad													
Trinken	bad													
Trinkgeld	bad													
Überschlag	bad													
Uhrmacher	bad													
Umarmung	bad													
Untersetzer	bad													
Verteiler	bad													
Vibrieren	bad													
Vorarbeiter	bad													
Vorrichtung	bad													
Wackeln	bad													
Werkmeister	bad													
Wettkämpfer	bad													
Windsurfen	bad													
Wischer	mid													
Workshop	bad													
Wurf	bad													
Würgen	bad													
Zeitnehmer	bad													
Zeltlager	bad													
Zimmerleute	bad													
Zither	bad													
Zubehörteil	bad													
Zünder	bad													
Zündholz	bad													
Zündschnur	bad													
Zunge	bad													
Zupfen	bad													
Akkordeon	good													
Alphorn	good													
Auto	good													
Axt	good													
Bagger	good													
Banjo	good													
Baseball	good													
Beil	good													
Besen	good													
Blasebalg	good													
Blech	good													
Blechbüchse	mid													
Blockflöte	good													
Bohrer	good													
Brandbombe	mid													
Brecheisen	good													
Computer	good													
Dampfwalze	good													
Drehleier	bad													
Drucker	good													
Dudelsack	good													
Dusche	good													
Feuerwaffe	good													
Fibel	bad													
Flinte	good													
Flöte	good													
Fön	good													
Gabelstapler	good													
Geschenk	action													
Gitarre	good													
Hammer	good													
Harfe	good													
Hebebühne	good													
Hobel	good													
Karussell	good													
Kettensäge	good													
Klaviatur	good													
Klöppel	good													
Knebel	good													
Konsole	good													
Kran	good													
Kuhglocke	mid													
Kühltruhe	good													
Lagerfeuer	good													
Lasso	good													
Mähdrescher	good													
Mäher	good													
Moped	good													
Mörser	good													
Motorrad	good													
Motorsäge	good													
Mundstück	good													
Pfeife	good													
Posaune	good													
Puppe	action													
Rädchen	bad													
Rednerpult	mid													
Roboter	good													
Rohrstock	good													
Roller	good													
Säge	good													
Saxophon	good													
Schäfchen	bad													
Schalter	good													
Schaukel	good													
Schläger	good													
Schlagstock	good													
Schlagwerk	mid													
Schlagzeug	good													
Schleuder	good													
Seilzug	good													
Spielzeug	good													
Stapler	good													
Streichholz	good													
Tamburin	good													
Tastatur	good													
Tonabnehmer	bad													
Traktor	good													
Trampolin	good													
Triangel	good													
Trommel	good													
Truck	good													
Waffe	good													
Walze	good													
Wasserpfeife	good													
Werkzeug	good													
Wippe	mid													
Xylophon	good													
Zahnbürste	good													
Zapfhahn	good													
Zug	good													
Zugmaschine	mid													
Geige	good													
Beichtstuhl	bad													
Festwagen	mid													
Video	sound													
Anschlag	sound													
Bohrung	sound													
Friseur	sound													
Frisör	sound													
Goldschmied	sound													
Karambolage	sound													
Mechaniker	sound													
Monteur	sound													
Schlag	sound													
Schmied	sound													
Schreiner	sound													
Schütze	sound													
Skater	sound													
Ständchen	sound													
Standpauke	sound													
Tanz	sound													
Tänzer	sound													
