Table 1
word	Final_rating																
Lippenstift	bad																
Buttermilch	bad																
Rippchen	bad																
Kodex	bad																
Garbe	bad																
Reklametafel	bad																
Hochhaus	bad																
Mokka	bad																
Bodega	bad																
Ziegelhausen	bad																
Patina	bad																
Arsen	bad																
Kliff	bad																
Rotauge	bad																
Thorax	bad																
Thuja	bad																
Beinkleid	bad																
Flor	bad																
Klümpchen	bad																
Sonnenstich	bad																
Katakombe	bad																
Frostbeule	bad																
Rechteck	bad																
Imbiß	bad																
Habit	bad																
Jahnplatz	bad																
Quadrat	bad																
Meile	bad																
Armenviertel	bad																
Jägerstraße	bad																
Schlund	mid																
Hemmstoff	bad																
Dampfschiff	bad																
Dateiname	bad																
Nicolette	bad																
Kentaur	bad																
Maisfeld	bad																
Farmland	bad																
Weingärtner	bad																
Protein	bad																
Königstraße	bad																
Quartier	mid																
Florfliege	bad																
Asiatin	bad																
Schweinswal	bad																
Pentagon	bad																
Quecksilber	bad																
Glimmstengel	bad																
Gaze	bad																
Magnesium	bad																
Meeresboden	bad																
Sepia	bad																
Kohlenhydrat	bad																
Wasserlassen	bad																
Bildzeichen	bad																
Lutscher	bad																
Eiweiß	bad																
Mahagoni	bad																
Spalier	bad																
Liter	bad																
Reihenhaus	bad																
Einfriedung	bad																
Kajüte	good																
Bitumen	bad																
Plunder	bad																
Fußspur	bad																
Moschus	bad																
Treibhaus	bad																
Vereinshaus	bad																
Bruchbude	bad																
Stirnlampe	bad																
Semmel	bad																
Fußgängerweg	bad																
Pagode	bad																
Hexenschuß	bad																
Vorraum	bad																
Franse	bad																
Breme	bad																
Bronchitis	bad																
Emulsion	bad																
Eselsohr	bad																
Dampfboot	bad																
Stiege	bad																
Zwickel	bad																
Biosensor	bad																
Sauerampfer	bad																
Polyeder	bad																
Zyanid	bad																
Schlafmütze	bad																
Mikrogramm	bad																
Essener	bad																
Hahnenfuß	bad																
Inhaltsstoff	bad																
Gabelung	bad																
Ulme	bad																
Geburtshaus	bad																
Stickstoff	bad																
Bestäubung	bad																
Rotunde	bad																
Kamm	bad																
Süßwasser	bad																
Blondschopf	bad																
Whiskey	bad																
Heer	bad																
Treppenhaus	bad																
Bruchstück	bad																
Barte	bad																
Wandale	bad																
Hafenstraße	bad																
Giftstoff	bad																
Mutterleib	bad																
Tran	bad																
Schaubild	bad																
Tibeter	bad																
Volumen	bad																
Galgen	bad																
Wallstraße	bad																
Adreßbuch	bad																
Tempelhof	bad																
Mehlschwitze	bad																
Innenhof	bad																
Trockenmauer	bad																
Retorte	bad																
Omelett	bad																
Paella	bad																
Rollbahn	bad																
Kleinode	bad																
Aufdruck	good																
Stausee	good																
Landseite	bad																
Oberseite	bad																
Anemone	bad																
Nasenbluten	bad																
Handelsmarke	bad																
Joker	bad																
Stadtviertel	bad																
Kaliber	bad																
Monogramm	bad																
Hermannplatz	bad																
Rinne	mid																
Blütenblatt	bad																
Ratskeller	bad																
Kolosseum	bad																
Möhre	mid																
Piste	mid																
Hügel	good																
Territorium	good																
Meeresgrund	good																
Pfefferminz	mid																
Strauch	good																
Beuteltier	good																
Bidet	bad																
Tatze	good																
Phosphor	good																
Huftier	bad																
Beton	good																
Veranda	good																
Süßware	bad																
Blaubeere	bad																
Currywurst	bad																
Fenchel	mid																
Trabant	bad																
Sockel	good																
Champagner	bad																
Flagge	good																
Hundehütte	bad																
Inkubator	bad																
Straßenzug	bad																
Container	mid																
Talisman	good																
Felsbrocken	good																
Fragment	good																
Pflanze	mid																
Wasserfarbe	bad																
Auge	bad																
Weinstock	good																
Stachel	good																
Flunder	good																
Pavillon	good																
Findling	bad																
Ringbahn	bad																
Erdbeere	bad																
Halm	good																
Getränk	bad																
Halstuch	bad																
Pinie	good																
Leber	bad																
Milch	bad																
Trikot	bad																
Kuppel	good																
Speisekarte	bad																
Bildnis	good																
Sonnenmilch	bad																
Borke	good																
Traube	bad																
Floß	mid																
Hornhaut	good																
Abhang	good																
Creme	bad																
Vorstadt	good																
Präparat	good																
Farbstoff	good																
Wespe	good																
Pfau	good																
Falter	good																
Bahnsteig	bad																
Tumor	bad																
Lehm	good																
Schirm	bad																
Rouge	bad																
Wacholder	good																
Gärtchen	bad																
Zement	good																
Erbse	mid																
Box	bad																
Zimmer	good																
Kiwi	bad																
Sand	good																
Visier	good																
Wandgemälde	bad																
Hafer	mid																
Rezept	bad																
Boot	bad																
Kalkstein	good																
Kamel	good																
Talg	good																
Erdapfel	mid																
Sonnencreme	bad																
Tunnel	good																
Olive	bad																
Kieme	good																
Laubblatt	good																
Zitronengras	bad																
Depot	good																
Fell	mid																
Treppchen	bad																
Blütenstaub	good																
Luftblase	good																
Lavendel	good																
Flecken	good																
Wolke	good																
Sonnentau	good																
Basar	bad																
Reliquie	good																
Anis	bad																
Uferstreifen	mid																
Zwerchfell	good																
Korridor	good																
Augenlid	bad																
Seehecht	bad																
Kruste	good																
Pfeiler	good																
Pocke	good																
Glas	bad																
Lätzchen	mid																
Mumie	good																
Sandstein	good																
Grünkohl	bad																
Steinbutt	mid																
Pfirsich	bad																
Spektrometer	bad																
Gestein	good																
Schneeball	bad																
Bikini	bad																
Felsblock	good																
Brust	bad																
Licht	mid																
Marmor	good																
Felsspalte	good																
Aorta	bad																
Elektron	mid																
Pore	good																
Gebüsch	good																
Herberge	bad																
Tintenfisch	bad																
Leberfleck	good																
Granatapfel	bad																
Halbmond	bad																
Limone	bad																
Lämmchen	bad																
Gesicht	bad																
Oblate	bad																
Essig	bad																
Flocke	good																
Tentakel	good																
Hülsenfrucht	bad																
Einhorn	good																
Asphalt	good																
Sandwich	bad																
Spermium	bad																
Ludwigstraße	bad																
Faßbinder	bad																
Drüse	bad																
Grünspan	bad																
Würmchen	bad																
Obelisk	bad																
Gehöft	good																
Äderchen	bad																
Münzstätte	bad																
Vulva	bad																
Südland	bad																
Sensor	good																
Gerinnsel	mid																
Heftchen	bad																
Teleskop	bad																
Nußschale	bad																
Schneeregen	bad																
Triptychon	bad																
Karat	bad																
Koralle	good																
Buddha	bad																
Duplikat	bad																
Hausberg	bad																
Nacken	bad																
Knäckebrot	bad																
Schlagader	bad																
Küstenlinie	bad																
Gebärmutter	bad																
Sphinx	good																
Steckrübe	bad																
Lotus	bad																
Kasino	bad																
Hirschgeweih	bad																
Aceton	bad																
Buchweizen	bad																
Verlies	good																
Satin	bad																
Flurstück	bad																
Kopeke	bad																
Siedlung	bad																
Leitungsbahn	bad																
Ballon	bad																
Hermelin	bad																
Tarsus	bad																
Euter	bad																
Gläschen	bad																
Kord	bad																
Infanterie	bad																
Datensatz	bad																
Husar	bad																
Rosenstock	bad																
Unterleib	bad																
Gaumen	bad																
S&P	bad																
Stadthaus	bad																
Süßstoff	bad																
Fotograf	bad																
Ladenhüter	bad																
Verdeck	bad																
Restaurant	bad																
Pissoir	bad																
Röte	bad																
Blinker	bad																
Klecks	good																
Anlegestelle	bad																
Flügel	bad																
Nordhaus	bad																
Tempel	good																
Fangzahn	bad																
Milchzucker	bad																
Pfarrhof	bad																
Kirsche	bad																
Seezunge	bad																
Seestern	bad																
Pyjama	bad																
Kalbfleisch	bad																
Weinrebe	bad																
Gebälk	bad																
Rosette	bad																
Alge	good																
Bioreaktor	bad																
Ziegel	bad																
Gletscher	good																
Ringelblume	bad																
Spurweite	bad																
Skorpion	bad																
Zentrum	bad																
Baum	bad																
Schatzhaus	bad																
Burgstraße	bad																
Spalt	good																
Foliant	bad																
Blazer	bad																
Myrrhe	bad																
Mikroskop	bad																
Bauernhaus	bad																
Kammer	good																
Ammonit	bad																
Frucht	bad																
Sund	bad																
Bindehaut	bad																
Trakt	mid																
Rauhfaser	bad																
Kot	bad																
Rinde	good																
Irrgarten	bad																
Lidschatten	bad																
Blaue	bad																
Suppe	bad																
Emblem	good																
Himmelszelt	bad																
Orange	bad																
Schandfleck	bad																
Krone	bad																
Friedhof	good																
Chrom	bad																
Meersalz	bad																
Holzhaus	bad																
Himmel	good																
Namenszug	bad																
Türpfosten	bad																
Ambrosia	bad																
Mikroalge	bad																
Slum	bad																
Gefieder	mid																
Baumbestand	bad																
Strichcode	bad																
Spring	bad																
Paddock	bad																
Kopfende	bad																
Buschland	bad																
Schleppnetz	bad																
Fliege	bad																
Oststadt	bad																
Blütenstand	bad																
Blume	bad																
Stoßfänger	bad																
Bohrturm	bad																
Wasserdampf	bad																
Kegel	bad																
Hagelkorn	bad																
Schlüpfer	bad																
Blütenpollen	bad																
Sternenstaub	bad																
Fistel	bad																
Fototermin	bad																
Dunkelkammer	bad																
Streifen	bad																
Radstand	bad																
Ziegelstein	bad																
Stamm	good																
Sumpf	good																
Stirn	bad																
Papyrus	bad																
Hockenheim	bad																
Kotflügel	bad																
Palais	bad																
Gourmet	bad																
Nebenfluß	bad																
Kloake	bad																
Grüne	bad																
Griffel	bad																
Karosse	bad																
Tropfen	bad																
Lupine	bad																
Tropf	bad																
Laubengang	bad																
Schrein	bad																
Hirse	bad																
Nilpferd	bad																
Tintenfaß	bad																
Thymian	bad																
Siegel	bad																
Retina	bad																
Antimon	bad																
Fenster	bad																
Zifferblatt	bad																
Fries	bad																
Alaun	bad																
Grab	good																
Kittel	bad																
