word	good_or_bad?
Bariton	x
Beitrag	x
Artgenosse	x
Augenzeuge	x
Saal	x
Hahnenschrei	x
Kollege	x
Redakteur	x
Sprachrohr	x
Brecher	x
Ton	x
Krähe	x
Funkgerät	x
Kuckuck	x
Gerichtssaal	x
Anrufer	x
Eule	x
Pauker	x
Ohrenzeuge	x
Tonband	x
Sprecher	x
Radio	x
Rezitator	x
Monolog	x
Autofahrer	x
Gitarrist	x
Tierarzt	x
Jingle	x
Tölpel	x
Zeichentrick	x
Minister	x
Holzbläser	x
Schauspieler	x
Spaßmacher	x
Singvogel	x
Sinto	x
Funktelefon	x
Kompressor	x
Gezwitscher	x
Ohrwurm	x
Zwischenfall	x
Wortlaut	x
Ventil	x
Schrei	x
Moderator	x
Ohr	x
Pauke	x
Moderatorin	x
Vogel	x
Grunzen	x
Verfasser	x
Vorfall	x
Lautsprecher	x
Uhu	x
Kommentator	x
Bombenleger	x
Showmaster	x
Unterhändler	x
Schreihals	x
Klingelton	x
Papagei	x
Mitschüler	x
Sprecherin	x
Entertainer	x
Wärter	x
Sandmännchen	x
Sängerin	x
Musikant	x
Sirene	x
Gemurmel	x
Mitschnitt	x
Kleiber	x
Psalmist	x
Telefax	x
Fernsprecher	x
Posaunist	x
Funktionär	x
Kanzlerin	x
Clown	x
Musiker	x
Sender	x
Würger	x
Tuba	x
Plagiator	x
Trauergast	x
Schulleiter	x
Piepser	x
Aufschrei	x
Komiker	x
Troubadour	x
Tenor	x
Sänger	x
Zaunkönig	x
Journalist	x
Staatsanwalt	x
Extremist	x
Liederhalle	x
Spruch	x
Tonleiter	x
Sprechchor	x
Recorder	x
Aufzug	x
Anführer	x
Pfiff	x
Bauchredner	x
Reporterin	x
Telegraf	x
Hooligan	x
Redner	x
Songtext	x
Schwalbe	x
Trinkspruch	x
Fiedel	x
Tohuwabohu	x
Darsteller	x
Autokolonne	x
Musikbox	x
Krachen	x
Schächter	x
Interpret	x
Videotext	x
Besetzer	x
Dolmetscher	x
Amokläufer	x
Metronom	x
Schuljunge	x
Feuerwerker	x
Reporter	x
Protestler	x
Lehrer	x
Kommentar	x
Sprechanlage	x
Anwalt	x
Lied	x
Megaphon	x
Mischpult	x
Schmierfink	x
Schüler	x
Trommler	x
