word	good_or_bad?	comment
Bootsführer	x	y
Geige	x	y
Monteur	x	y
Wischer	x	y
Schriftsatz	x	y
Azubi	x	y
Schütze	x	y
Geschenk	x	y
Schäfchen	x	y
Puppe	x	y
Wasserpfeife	x	y
Xylophon	x	y
Nickerchen	x	y
Schleuder	x	y
Kratzen	x	y
Anschlag	x	y
Trampolin	x	y
Rechtshänder	x	y
Stoßzahn	x	y
Boß	x	y
Zündschnur	x	y
Zapfhahn	x	y
Workshop	x	y
Software	x	y
Schlag	x	y
Streich	x	y
Baseball	x	y
Klöppel	x	y
Fang	x	y
Saxophon	x	y
Dusche	x	y
Werkmeister	x	y
Anzünden	x	y
Goldschmied	x	y
Abwurf	x	y
Abtasten	x	y
Hebebühne	x	y
Saustall	x	y
Werkzeug	x	y
Spieß	x	y
Gabelstapler	x	y
Hüpfen	x	y
Ständchen	x	y
Katechismus	x	y
Blockflöte	x	y
Kind	x	y
Saite	x	y
Nachschlag	x	y
Standpauke	x	y
Mitspieler	x	y
Skater	x	y
Säge	x	y
Trommel	x	y
Miststück	x	y
Quarterback	x	y
Vibrieren	x	y
Kinderwagen	x	y
Eßlöffel	x	y
Überschlag	x	y
Amboß	x	y
Trinkgeld	x	y
Heber	x	y
Schleifer	x	y
Schreiner	x	y
Gegner	x	y
Hänger	x	y
Roboter	x	y
Waffe	x	y
Lebkuchen	x	y
Windsurfen	x	y
Festzug	x	y
Kribbeln	x	y
Löffel	x	y
Gerät	x	y
Vorarbeiter	x	y
Anfassen	x	y
Arbeiter	x	y
Kutscher	x	y
Zeltlager	x	y
Stolpern	x	y
Frau	x	y
Handschlag	x	y
Computer	x	y
Tastendruck	x	y
Klinge	x	y
Schmied	x	y
Frisör	x	y
Quietschen	x	y
Kran	x	y
Hufschmied	x	y
Imker	x	y
Bademeister	x	y
Zugmaschine	x	y
Bohrung	x	y
Schlagmann	x	y
Trampen	x	y
Sauger	x	y
Triangel	x	y
Aufschneider	x	y
Fritte	x	y
Karambolage	x	y
Bohrer	x	y
Briefträger	x	y
Ballerina	x	y
Striptease	x	y
Blasebalg	x	y
Hackbrett	x	y
Truck	x	y
Brandbombe	x	y
Gerätschaft	x	y
Konsole	x	y
Arbeitsblatt	x	y
Sprengstoff	x	y
Rednerpult	x	y
Hausierer	x	y
Bausch	x	y
Snowboarder	x	y
Lasso	x	y
Kühltruhe	x	y
Klempner	x	y
Ringrichter	x	y
Umarmung	x	y
Kendo	x	y
Uhrmacher	x	y
Spucke	x	y
Zündholz	x	y
Rufer	x	y
Haspel	x	y
Taschendieb	x	y
Knebel	x	y
Seilzug	x	y
Großaufnahme	x	y
Spielzug	x	y
Flöte	x	y
Roller	x	y
Banjo	x	y
Töpferei	x	y
Lauffeuer	x	y
Puppenspiel	x	y
Demo	x	y
Taubenschlag	x	y
Hämmern	x	y
Rohrstock	x	y
Wippe	x	y
Tip	x	y
Pfeife	x	y
Spielplatz	x	y
Klopfer	x	y
Apparatur	x	y
Taktstock	x	y
Kinderfrau	x	y
Handheld	x	y
Brief	x	y
Karussell	x	y
Schlagwerk	x	y
Feuergefecht	x	y
Aufhänger	x	y
Tänzerin	x	y
Zimmerleute	x	y
Jongleur	x	y
Schalmei	x	y
Kopfball	x	y
Knallkörper	x	y
Herdplatte	x	y
Zunge	x	y
Cartoon	x	y
Friseur	x	y
Sandkasten	x	y
Mundschutz	x	y
Zeitnehmer	x	y
Spieler	x	y
Bohle	x	y
Dung	x	y
Fütterung	x	y
Eierbecher	x	y
Klatschen	x	y
Kopfstoß	x	y
Totschläger	x	y
Steinschlag	x	y
Klemme	x	y
Korb	x	y
Beckmesser	x	y
Zug	x	y
Blumenkübel	x	y
Handspiel	x	y
Korpus	x	y
Heimwerker	x	y
Randalierer	x	y
Pulli	x	y
Moped	x	y
Verteiler	x	y
Schlagloch	x	y
Handwagen	x	y
Arbeiterin	x	y
Pausenbrot	x	y
Wurf	x	y
Horn	x	y
Stoß	x	y
Kehrmaschine	x	y
Krabbeln	x	y
Torhüter	x	y
Stapler	x	y
Gitarre	x	y
Spritzer	x	y
Fön	x	y
Kopfnicken	x	y
Hüpfer	x	y
Maus	x	y
Harfe	x	y
Inhalt	x	y
Pokern	x	y
Fender	x	y
Einparken	x	y
Posaune	x	y
Händedruck	x	y
Video	x	y
Klopfen	x	y
Inventar	x	y
Tachometer	x	y
Plotter	x	y
Bauteil	x	y
Trick	x	y
Brezel	x	y
Motorsäge	x	y
Mechaniker	x	y
Schuhmacher	x	y
Tanz	x	y
Mäher	x	y
Röckchen	x	y
Lehrplan	x	y
Grimasse	x	y
Bildtelefon	x	y
Trinken	x	y
Spaziergang	x	y
Tänzer	x	y
Tasse	x	y
Gewichtheber	x	y
Herausgabe	x	y
Haftrichter	x	y
Fußtritt	x	y
Traktor	x	y
Schach	x	y
Feuerwaffe	x	y
Holzwurm	x	y
Ortheil	x	y
Aushang	x	y
Feuerzeug	x	y
Mähdrescher	x	y
Formteil	x	y
Motorrad	x	y
Fußpfleger	x	y
Planierraupe	x	y
Sportstudio	x	y
Pirouette	x	y
Espresso	x	y
Schläfchen	x	y
Flugblatt	x	y
Flamenco	x	y
Schweißnaht	x	y
Druckschrift	x	y
Kuhglocke	x	y
Halfter	x	y
Alphorn	x	y
Hebel	x	y
Axt	x	y
Stück	x	y
Menschenraub	x	y
Flinte	x	y
Feder	x	y
Stöckchen	x	y
Stierkampf	x	y
Pflüger	x	y
Höhenmesser	x	y
Glöckchen	x	y
Tamburin	x	y
Lagerfeuer	x	y
Schalter	x	y
Abschlag	x	y
Melken	x	y
Tonabnehmer	x	y
Partnerin	x	y
Tastatur	x	y
Hardware	x	y
Hippe	x	y
Rädchen	x	y
Kriecher	x	y
Kraftrad	x	y
Vorrichtung	x	y
Platzverweis	x	y
Streichholz	x	y
Krempel	x	y
Nachbau	x	y
Auto	x	y
Holzfäller	x	y
Setzer	x	y
Beil	x	y
Bastler	x	y
Kampfrichter	x	y
Lehrbuch	x	y
Spielzeug	x	y
Würgen	x	y
Bagger	x	y
Festwagen	x	y
Kegler	x	y
Dudelsack	x	y
Polizistin	x	y
Gegenstand	x	y
Bearbeiterin	x	y
Schläger	x	y
Klaviatur	x	y
Spießer	x	y
Polin	x	y
Rehkitz	x	y
Tischler	x	y
Fund	x	y
Zahnbürste	x	y
Festumzug	x	y
Handzettel	x	y
Kuchen	x	y
Spielstand	x	y
Tape	x	y
Töpfchen	x	y
Langfinger	x	y
Fuhrpark	x	y
Streicheln	x	y
Eckstoß	x	y
Handstreich	x	y
Greifer	x	y
Zubehörteil	x	y
Kanne	x	y
Wettkämpfer	x	y
Percussion	x	y
Scheller	x	y
Blech	x	y
Abfeuern	x	y
Querschläger	x	y
Akkordeon	x	y
Halter	x	y
Einkäufer	x	y
Schlagstock	x	y
Sandsack	x	y
Untersetzer	x	y
Drahtesel	x	y
Schaukel	x	y
Armatur	x	y
Schaustück	x	y
Bogenschütze	x	y
Klotz	x	y
Knarre	x	y
Walze	x	y
Briefkasten	x	y
Steg	x	y
Knistern	x	y
Sandkiste	x	y
Taste	x	y
Aufschlag	x	y
Einbrecher	x	y
Besen	x	y
Krippe	x	y
Golfspieler	x	y
Sensenmann	x	y
Mörser	x	y
Hobel	x	y
Zither	x	y
Zupfen	x	y
Näherin	x	y
Steckenpferd	x	y
Backofen	x	y
Zünder	x	y
Blechbüchse	x	y
Balg	x	y
Fibel	x	y
Fliesenleger	x	y
Mundstück	x	y
Kinderbett	x	y
Dachdecker	x	y
Hammer	x	y
Fechter	x	y
Quaken	x	y
Hersteller	x	y
Kettensäge	x	y
Sauna	x	y
Metall	x	y
Teilnehmerin	x	y
Akrobat	x	y
Torwart	x	y
Tamtam	x	y
Dampfwalze	x	y
Ahle	x	y
Glasbläserei	x	y
Ringkampf	x	y
Klappe	x	y
Spielerin	x	y
Wackeln	x	y
Drucker	x	y
Klatsche	x	y
Knüppel	x	y
Raubüberfall	x	y
Stuntman	x	y
Brecheisen	x	y
Schlagfall	x	y
Mühlstein	x	y
Fuchtel	x	y
Kinderzimmer	x	y
Schleifstein	x	y
Beichtstuhl	x	y
Lackierer	x	y
Backgammon	x	y
Drehleier	x	y
Schlagzeug	x	y
Ladegerät	x	y
Konditor	x	y
Erfinderin	x	y
Klinke	x	y
