word	old20 score (based on the top 35502 lemmas in sdewac)
Wohnung	7.0
Teil	4.0
Stadt	5.0
Stock	5.0
Wohnhaus	8.0
Kaffee	6.0
Wohnungstür	11.0
Lichtjahr	9.0
Alte	4.0
Burg	4.0
Tag	3.0
Wolke	5.0
Rand	4.0
Hals	4.0
Mensch	6.0
Himmel	6.0
Schatten	8.0
Leichtigkeit	12.0
Stimmung	8.0
Wort	4.0
Kopf	4.0
Pfarrer	7.0
Erinnerung	10.0
Weg	3.0
Haus	4.0
Vater	5.0
Mund	4.0
Schrift	7.0
Papier	6.0
Lehm	4.0
Mauer	5.0
Stein	5.0
Hitze	5.0
Ohr	3.0
Faktum	6.0
Ereignis	8.0
Zeitung	7.0
Information	11.0
Kunde	5.0
Laune	5.0
Geld	4.0
Telefonat	9.0
Wucht	5.0
Gefühl	6.0
Aufprall	8.0
Sitz	4.0
Gestalt	7.0
Wunde	5.0
Pfeil	5.0
Gesicht	7.0
Schönheit	9.0
Wurst	5.0
Stück	5.0
Brot	4.0
Stellung	8.0
Nummer	6.0
Wüste	5.0
Blick	5.0
Wut	3.0
Bauch	5.0
Promenade	9.0
Strand	6.0
Verzweiflung	12.0
Ursprung	8.0
Tier	4.0
Zahl	4.0
Leben	5.0
Acht	4.0
Zeichen	7.0
Neubeginn	9.0
Baumeister	10.0
Stammgast	9.0
Wiedereröffnung	15.0
Ungeduld	8.0
Zahn	4.0
Falke	5.0
Becher	6.0
Rest	4.0
Kind	4.0
Sohn	4.0
Tochter	7.0
Frau	4.0
Klappe	6.0
Schluck	7.0
Wasser	6.0
Foyer	5.0
Berührung	9.0
Haut	4.0
Zebra	5.0
Schatz	6.0
Zeiger	6.0
Uhr	3.0
Mitternacht	11.0
Zeile	5.0
Buch	4.0
Zeit	4.0
Feierabend	10.0
Gummi	5.0
Entscheidung	12.0
Handeln	7.0
Mann	4.0
Einladung	9.0
Reaktion	8.0
Ewigkeit	8.0
Sterben	7.0
Steigung	8.0
Pedal	5.0
Bedeutung	9.0
Gefängnis	9.0
Auge	4.0
Röhre	5.0
Zeitreise	9.0
Abenteuer	9.0
Augenblick	10.0
Moment	6.0
Zeitschrift	11.0
Umstand	7.0
Tür	3.0
Ergebnis	8.0
Hand	4.0
Mitte	5.0
Brille	6.0
Glas	4.0
Tisch	5.0
Rechenschaft	12.0
Sinn	4.0
Öl	2.0
Raum	4.0
Million	7.0
Zelt	4.0
Naht	4.0
Zeremonie	9.0
Altar	5.0
Ding	4.0
Sache	5.0
Hütte	5.0
Rotwein	7.0
Hose	4.0
Hemd	4.0
Haar	4.0
Mal	3.0
Ziffer	6.0
Zigarette	9.0
Mundwinkel	10.0
Dämon	5.0
Zivilisation	12.0
Menschheit	10.0
Schulter	8.0
Zubereitung	11.0
Welpe	5.0
Ruhe	4.0
Zufahrt	7.0
Strecke	7.0
Meter	5.0
Garage	6.0
Letzte	6.0
Zufriedenheit	13.0
Wärme	5.0
Zugvogel	8.0
Jahr	4.0
Zukunft	7.0
Junge	5.0
Möglichkeit	11.0
Zunge	5.0
Hirn	4.0
Knochen	7.0
S	2.0
Zusammenhang	12.0
Zentimeter	10.0
Unterfangen	11.0
Tod	3.0
Auto	4.0
Mimik	5.0
Fremde	6.0
Waffe	5.0
Funk	4.0
Zwei	4.0
Atem	4.0
Beamter	7.0
Weile	5.0
Ente	4.0
Kerl	4.0
Nacht	5.0
Begegnung	9.0
Garten	6.0
Unterwäsche	11.0
Einheit	7.0
Stufe	5.0
Neid	4.0
Arroganz	8.0
Brunnen	7.0
Sportplatz	10.0
Richtung	8.0
Zwerg	5.0
Ecke	4.0
Eindruck	8.0
Anwesenheit	11.0
Phantom	7.0
Zwilling	8.0
