word	old20 score (based on the top 35502 lemmas in sdewac)
Efeu	4.0
Elefant	7.0
Ahorn	5.0
Angel	5.0
Auspuff	7.0
Satellit	8.0
Grille	6.0
Frosch	6.0
Küken	5.0
Gitarre	7.0
Turbine	7.0
Salamander	10.0
Ferkel	6.0
Denkmal	7.0
Dolch	5.0
Klavier	7.0
Knopf	5.0
Flöte	5.0
Dusche	6.0
Xylophon	8.0
Eidechse	8.0
Affe	4.0
Fagott	6.0
Geige	5.0
Frisbee	7.0
Trommel	7.0
Trompete	8.0
Fichte	6.0
Gecko	5.0
Gewehr	6.0
Ziege	5.0
Skorpion	8.0
Propeller	9.0
Floh	4.0
Spaten	6.0
Tanne	5.0
Känguruh	8.0
Säge	4.0
Milbe	5.0
Tornado	7.0
Uhu	3.0
Eiche	5.0
Cello	5.0
Tablett	7.0
Handy	5.0
Kontrabass	10.0
Telefon	7.0
Krawatte	8.0
Kröte	5.0
Kleber	6.0
Krähe	5.0
Alge	4.0
Gazelle	7.0
Lüftung	7.0
Löwe	4.0
Harfe	5.0
Seife	5.0
Mikrofon	8.0
Waffel	6.0
Mikroskop	9.0
Amsel	5.0
Bär	3.0
Paket	5.0
Fön	3.0
Zange	5.0
Peitsche	8.0
Henne	5.0
Zigarette	9.0
Raupe	5.0
Kamm	4.0
Löffel	6.0
Posaune	7.0
Logo	4.0
Nachtigall	10.0
Palme	5.0
Papagei	7.0
Pinzette	8.0
Pinsel	6.0
Flinte	6.0
Krücke	6.0
Kuvert	6.0
Tuba	4.0
Qualle	6.0
Wasserfall	10.0
Revolver	8.0
Kuckuck	7.0
Hummel	6.0
Buche	5.0
Moos	4.0
Bohrer	6.0
Saxophon	8.0
Rabe	4.0
Balken	6.0
Schimpanse	10.0
Schraube	8.0
Schlagzeug	10.0
Chamäleon	9.0
Klarinette	10.0
Rotkehlchen	11.0
Säule	5.0
Triangel	8.0
Schaf	5.0
Scheck	6.0
Spritze	7.0
Schal	5.0
Fluss	5.0
Auto	4.0
Kanone	6.0
Rakete	6.0
Keyboard	8.0
Moped	5.0
Höhle	5.0
Eule	4.0
Akkordeon	9.0
Lupe	4.0
Ukulele	7.0
Böller	6.0
Serviette	9.0
Mixer	5.0
Rassel	6.0
Oktopus	7.0
Pavian	6.0
Nelke	5.0
Piranha	7.0
Dachs	5.0
Dynamit	7.0
Pistole	7.0
Pille	5.0
Knarre	6.0
Pfosten	7.0
Specht	6.0
Bach	4.0
Granate	7.0
Flyer 	6.0
Gong	4.0
Lawine	6.0
Säugling	8.0
Hemd	4.0
Lanze	5.0
Tandem	6.0
Karaffe	7.0
Drossel	7.0
Mofa	4.0
Triebwerk	9.0
Gorilla	7.0
Baby	4.0
Marionette	10.0
Perücke	7.0
Skizze	6.0
Wellensittich	13.0
Spatz	5.0
Kajak	5.0
Gebläse	7.0
Rotor	5.0
Taube	5.0
Fundament	9.0
Rochen	6.0
Rinne	5.0
Zwetschge	9.0
Kuchen	6.0
Ente	4.0
Geläut	6.0
Brandung	8.0
Marder	6.0
Margerite	9.0
Möwe	4.0
Mango	5.0
Plakette	8.0
Pfeiler	7.0
Kartoffel	9.0
Lautsprecher	12.0
Biber	5.0
Mast	4.0
Seil	4.0
Atlas	5.0
Pferd	5.0
Gürtel	6.0
Zwiebel	7.0
Portrait	8.0
Auster	6.0
Schnecke	8.0
Käfer	5.0
Schabe	6.0
Skulptur	8.0
Banane	6.0
Himbeere	8.0
Sirene	6.0
Maske	5.0
Abbildung	9.0
Bumerang	8.0
Dach	4.0
Pullover	8.0
Termite	7.0
Cembalo	7.0
Plakat	6.0
Elch	4.0
Otter	5.0
Ananas	6.0
Abzeichen	9.0
Geröll	6.0
Gemälde	7.0
Antilope	8.0
Orange	6.0
Kommode	7.0
Hornisse	8.0
Vulkan	6.0
Laus	4.0
Aushang	7.0
Häcksler	8.0
Kiwi	4.0
Kapuze	6.0
Bongo	5.0
Getriebe	8.0
Anzug	5.0
Hupe	4.0
Spaghetti	9.0
Spinne	6.0
Geschütz	8.0
Giraffe	7.0
Flamingo	8.0
Wurm	4.0
Becher	6.0
Herd	4.0
Hamburger 	10.0
Eimer	5.0
Jeans	5.0
Blinker	7.0
Karpfen	7.0
Krebs	5.0
Zeichnung 	10.0
Stier	5.0
Hubschrauber	12.0
Ausweis	7.0
Bombe	5.0
Beutel	6.0
Weste	5.0
Krabbe	6.0
Bluse	5.0
Makrele	7.0
Metronom	8.0
Bikini	6.0
Hose	4.0
Tiger	5.0
Dohle	5.0
Kind	4.0
Biene	5.0
Esel	4.0
Zecke	5.0
Igel	4.0
Panda 	6.0
Fuchs	5.0
Luchs	5.0
Messer	6.0
Jacke	5.0
Meißel	6.0
Mantel	6.0
Tablette	8.0
Tasche	6.0
Stuhl	5.0
Leiter	6.0
Koffer	6.0
Umschlag	8.0
Kleid	5.0
Toast 	6.0
Puppe	5.0
Rekorder	8.0
Schrank	7.0
Apfel	5.0
Regal	5.0
Krone	5.0
Wiege	5.0
Torte	5.0
Magnet	6.0
Reis	4.0
Paprika	7.0
Peperoni	8.0
Gurke	5.0
Mandarine	9.0
Olive	5.0
Aubergine	9.0
Meer	4.0
Motorrad	8.0
Schnake	7.0
Garnele	7.0
Ameise	6.0
Lachs	5.0
Maulwurf	8.0
Alpaka	6.0
Lama	4.0
Alligator	9.0
Koala	5.0
Staubsauger	11.0
Füller 	7.0
Bratsche	8.0
Kaffee	6.0
Fräse	5.0
Tamburin	8.0
Tasse	5.0
Fiedel	6.0
Kanu	4.0
Toaster	7.0
Zettel	6.0
Kastagnette	11.0
Laute	5.0
Nudel	5.0
Brot	4.0
Brötchen	8.0
Spind	5.0
Banjo	5.0
Schokolade	10.0
Wurst	5.0
Verstärker	10.0
Stöpsel	7.0
Salami	6.0
Faden	5.0
Korb	4.0
Mappe	5.0
Schachtel	9.0
Schnur	6.0
Teleskop	8.0
Kanne	5.0
Kiste	5.0
Schild	6.0
Hocker	6.0
Trage	5.0
Pauke	5.0
Thermometer	11.0
Mütze	5.0
Schale	6.0
Oboe	4.0
Orgel	5.0
Kordel	6.0
Wecker	6.0
Lilie	5.0
Berg	4.0
Narzisse	8.0
Blüte	5.0
Tulpe	5.0
Birke	5.0
Hering 	7.0
Forelle	7.0
Barsch	6.0
Schmetterling	13.0
Kabeljau	8.0
Wels	4.0
Eichhörnchen	12.0
Zebra	5.0
Krokodil	8.0
Buch	4.0
Ball	4.0
Korkenzieher	12.0
Schnuller	9.0
Rucksack	8.0
Ruder	5.0
Schraubenzieher	15.0
Stiefel	7.0
Ratsche	7.0
Schirm	6.0
Violine	7.0
Tisch	5.0
Bild	4.0
Mandoline	9.0
Pistazie	8.0
Karton	6.0
Torpedo	7.0
Schinken	8.0
Blaubeere	9.0
Rute	4.0
Mine	4.0
Haselnuss	9.0
Clementine	10.0
Tomate	6.0
Aprikose	8.0
Brombeere	9.0
Spargel	7.0
Zitrone	7.0
Kirsche	7.0
Limette	7.0
Birne	5.0
Johannisbeere	13.0
Erdbeere	8.0
Basilikum	9.0
Brille	6.0
Champignon	10.0
Staub	5.0
Feld	4.0
Feder	5.0
Muschel	7.0
Dreck	5.0
Schlamm	7.0
Gras	4.0
Ast	3.0
Busch	5.0
Krokus	6.0
Fisch 	6.0
Klapperschlange	15.0
Gans	4.0
Schildkröte	11.0
Schwan	6.0
Torso	5.0
Tintenfisch	11.0
Seehund	7.0
Aal	3.0
Reh	3.0
Faultier	8.0
Hai	3.0
Wombat	6.0
Emu	3.0
Gnu	3.0
Mörser	6.0
Ziehharmonika	13.0
Matratze	8.0
Bagger	6.0
Drucker	7.0
Fernseher	9.0
Schreibmaschine	15.0
Gameboy	7.0
Rollschuhe	10.0
Uhr	3.0
Sofa	4.0
Monitor	7.0
Mundharmonika	13.0
Grammophon	10.0
Couch	5.0
Martinshorn	11.0
Isomatte	8.0
Pfad	4.0
Netz	4.0
Schnittlauch	12.0
Kopfhörer	9.0
Lakritze	8.0
Sessel	6.0
Etikett	7.0
Keule	5.0
Tapete	6.0
Ketchup	7.0
Kopfsalat	9.0
Piepser	7.0
Schelle	7.0
Feldsalat	9.0
Haken	5.0
Truhe	5.0
Helm	4.0
Gardine	7.0
Sticker 	8.0
Kerze	5.0
Melone	6.0
Pfirsich	8.0
Dattel	6.0
Relief 	7.0
Welle	5.0
Leitplanke	10.0
Steinschlag	11.0
Enzian	6.0
Primel	6.0
Lärche	6.0
Geysir 	7.0
Sturzbach	9.0
Schwein	7.0
Huhn	4.0
Nuss	4.0
Kuh	3.0
Mücke	5.0
Hahn	4.0
Labrador	8.0
Kakerlake	9.0
Welpe	5.0
Dackel	6.0
Katze	5.0
Terrier	7.0
Husky	5.0
Rind	4.0
Hummer	6.0
Hund	4.0
Hamster	7.0
See	3.0
Hase	4.0
Kamel	5.0
Delphin	7.0
Kaiman	6.0
Kaninchen	9.0
Bulle	5.0
Kalb	4.0
Wal	3.0
Falke	5.0
Ratte	5.0
Elster	6.0
Wolf	4.0
Wespe	5.0
Kojote	6.0
Lamm	4.0
Goldfisch	9.0
Schwalbe	8.0
Maus	4.0
Dromedar	8.0
Geier	5.0
Habicht	7.0
Hirsch	6.0
Fledermaus	10.0
Pfau	4.0
Schlange	8.0
Dompfaff	8.0
Libelle	7.0
Storch	6.0
Gepard	6.0
Leopard	7.0
Fasan	5.0
Meise	5.0
Frettchen	9.0
Pinguin	7.0
Ozelot	6.0
Kormoran	8.0
Fink	4.0
Panther 	8.0
Adler	5.0
Kranich	7.0
Robbe	5.0
Kiebitz	7.0
Hyäne	5.0
Bussard	7.0
Pelikan	7.0
Reiher	6.0
Kakadu	6.0
Kolibri	7.0
Toilette	8.0
Zeitung	7.0
Tacker	6.0
Rasierer	8.0
Laptop	6.0
Schere	6.0
Quirl	5.0
Computer	8.0
Grill	5.0
Schlüssel	9.0
Gabel	5.0
Schalter	8.0
Bürste	6.0
Hacke	5.0
Fahrrad	7.0
Stift	5.0
Taxi	4.0
Stampfer	8.0
Bus	3.0
Flugzeug	8.0
Schlitten	9.0
Beil	4.0
Traktor	7.0
Bett	4.0
Feile	5.0
Schaufel	8.0
Taste	5.0
Ofen	4.0
Pfanne	6.0
Tür	3.0
Teller	6.0
Tram	4.0
Schuh	5.0
Besen	5.0
Disco	5.0
Marimba	7.0
Hammer	6.0
Kochlöffel	10.0
Scanner	7.0
Tastatur	8.0
Gambe	5.0
Sense	5.0
Würfel	6.0
Raspel	6.0
Reibe	5.0
Topf	4.0
Schüssel	8.0
Zither	6.0
Zug	3.0
Flasche	7.0
Kutsche	7.0
Stempel	7.0
Münze	5.0
Harke	5.0
Hobel	5.0
Keks	4.0
Regenschirm	11.0
Axt	3.0
Boot	4.0
Knüppel	7.0
Schiff	6.0
Trolley	7.0
Amboss	6.0
Video	5.0
