Action	Animate	Bigram_freq	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Lemma_freq	Letters	Living	Natural	Neighbors	Sound	Trigram_freq	Vertrautheit	Vertrautheit_SD	Visuell	Visuell_SD	Words	n_Syllables
0.0	0.0	48139.7	1.0	na	1.47	na	1.39	4.0	1.0	1.0	3.0	0.0	27767.83	5.83	0.48	4.27	na	Efeu	2.0	
0.0	1.0	207330.28	4.67	na	1.67	na	10.28	7.0	1.0	1.0	2.14	1.0	108084.34	5.96	0.2	5.6	na	Elefant	3.0	
0.0	0.0	248483.77	1.39	0.72	1.65	0.93	0.62	5.0	1.0	1.0	4.71	0.0	220266.29	5.38	1.07	4.57	1.4	Ahorn	2.0	
1.0	0.0	167294.41	1.44	0.62	5.33	1.08	4.62	5.0	0.0	0.0	16.7	0.0	58319.57	5.67	0.77	4.61	1.33	Angel	2.0	
0.0	0.0	77658.95	5.0	1.05	2.53	1.47	0.52	7.0	0.0	0.0	0.86	1.0	38758.08	5.1	1.14	3.58	1.61	Auspuff	2.0	
0.0	0.0	323723.37	1.0	na	1.47	na	5.67	8.0	0.0	0.0	0.86	0.0	145496.84	4.81	1.44	3.87	na	Satellit	3.0	
0.0	1.0	231508.7	4.7	1.61	1.3	0.47	2.48	6.0	1.0	1.0	7.71	1.0	166799.18	5.29	0.96	2.43	1.54	Grille	2.0	
0.0	1.0	234599.06	4.17	1.59	1.57	0.9	6.65	6.0	1.0	1.0	7.28	1.0	130504.36	5.57	1.08	4.33	1.46	Frosch	1.0	
0.0	1.0	400003.28	3.78	1.4	1.78	0.88	1.0	5.0	1.0	1.0	3.85	1.0	341377.47	5.61	0.92	5.11	1.02	Küken	2.0	
1.0	0.0	258821.5	5.72	0.67	5.56	0.62	2.6	7.0	0.0	0.0	1.28	1.0	156449.19	5.83	0.71	4.28	1.32	Gitarre	3.0	
0.0	0.0	288657.27	5.38	0.96	3.25	1.84	1.37	7.0	0.0	0.0	1.71	1.0	175095.07	5.06	1.44	3.38	1.54	Turbine	3.0	
0.0	1.0	572007.24	1.28	0.57	1.17	0.38	0.94	10.0	1.0	1.0	1.28	0.0	298140.5	5.22	1.17	5.11	0.96	Salamander	4.0	
0.0	1.0	241927.99	3.94	1.26	1.78	0.88	1.64	6.0	1.0	1.0	3.42	1.0	37999.57	5.5	0.92	4.5	1.2	Ferkel	2.0	
