Words	Pseudoword	Included	Sound	Action	Letters	n_Syllables	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Visuell	Visuell_SD	Vertrautheit	Vertrautheit_SD	Lemma_freq	Neighbors	Bigram_freq	Trigram_freq	Natural	Living	Animate	CongResp_S_Prop	CongResp_S_Prop (philosopher exluded)	RT_S_Mean	CongResp_A_Prop	CongResp_A_Prop (philosopher exluded)	RT_A_Mean																																																																
Bär	Mür	1	1	0	3	1	3,83	1,29	1,44	0,86	5,28	0,75	5,56	0,98	10,33	15,84	132087,56	128785,53	1	1	1	0,67	0,64	1045,92	0,92	0,91	804,17																																																																
Fön	Nän	1	1	1	3	1	4,5		4,69		3		5,88	0,45	0,22	12,84	209121,18	206694,59	0	0	0	0,92	0,91	734,75	1	1	809,58																																																																
Uhu	Itu	1	1	0	3	2	5,07		1,53		4,87		5,79	0,51	1	13,27	21961,51	18342,5	1	1	1	0,92	0,91	820,33	1	1	749,42																																																																
Affe	Elme	1	1	0	4	2	4,56	1,15	1,89	0,96	4,56	1,54	5,72	0,83	10,37	5,14	167234,8	155355,74	1	1	1	0,75	0,73	851,17	1	1	826,33																																																																
Alge	Kuse	1	0	0	4	2	1,06	0,24	1,39	0,7	3,72	1,93	5,28	1,13	1,82	10,7	218472,1	161107,16	1	1	0	0,92	0,91	801,42	1	1	876,83																																																																
Auto	Suta	1	1	1	4	2	5,31	1,14	5,81	0,4	4,94	1,18	5,81	0,54	51,85	13,27	46451,85	32937,18	0	0	0	0,92	0,91	841	0,92	0,91	851																																																																
Baby	Mabü	1	1	1	4	2	5,28	0,75	4,89	1,64	4,61	1,29	5,72	0,96	9,83	14,13	31351,93	20286,26	1	1	1	0,92	0,91	802	0,83	0,82	886,5																																																																
Bach	Babt	1	1	0	4	1	3,83	1,11	1,7	0,88	3,43	1,36	5,76	0,54	21,63	30,39	199983,05	108401,01	1	0	0	0,67	0,64	902,33	1	1	987																																																																
Dach	Zaßt	1	0	0	4	1	1,07		1,6		4,2		6	0	32,19	24,83	203901,32	112343,48	0	0	0	1	1	798,67	0,92	0,91	1014,58																																																																
Efeu	Afez	1	0	0	4	2	1		1,47		4,27		5,83	0,48	1,39	3	48139,7	27767,83	1	1	0	1	1	729,42	0,92	1	767,67																																																																
Ente	Esle	1	1	0	4	2	4,38	1,02	2,25	1,34	4,38	1,09	5,56	1,09	5,4	14,98	249930,24	181183,25	1	1	1																																																																						
Eule	Ulge	1	1	0	4	2	4,27		1,4		4,33		5,92	0,28	3,32	14,98	180066,5	152494,62	1	1	1	0,73	0,7	796,91	0,83	0,82	741,58																																																																
Floh	Groh	1	0	0	4	1	1,13	0,46	1,3	0,56	3,05	1,77	5,43	1,21	2,31	11,56	60913,68	52530,98	1	1	1	1	1	736,67	1	1	786,83																																																																
Gong	Gors	1	1	1	4	1	5,83	0,38	4,33	1,85	2,56	1,69	5,33	0,97	1,68	23,97	106865,68	60860,15	0	0	0	1	1	726,83	0,75	0,73	964,33																																																																
Hemd	Hehm	1	0	1	4	1	1,17	0,49	4,91	1,12	4,57	1,54	5,86	0,36	20,31	7,71	71463,92	52677,02	0	0	0	1	1	709,67	0,92	0,91	1136,75																																																																
Kamm	Niff	1	0	1	4	1	1,27		5,13		3,8		5,96	0,2	6,13	20,55	67065,9	50284,09	0	0	0	1	1	799	0,92	0,91	904,42																																																																
Logo	Noso	1	0	0	4	2	1		1,4		4,2		5,88	0,61	1,32	14,13	19880,31	16463,12	0	0	0	1	1	780,33	0,92	0,91	1040,67																																																																
Löwe	Lüße	1	1	0	4	2	4,47		2,13		5,4		6	0	15,72	9,42	159145,78	140440,22	1	1	1	0,75	0,73	796,75	1	1	850,33																																																																
Lupe	Urze	1	0	1	4	2	1		4,56		3,88		5,92	0,28	2,4	15,41	146785,06	141298	0	0	0	0,92	0,91	764,42	0,83	0,82	866,42																																																																
Mast	Maff	1	0	0	4	1	1,26	0,54	2,43	1,38	4,1	1,55	5,19	1,08	4,98	30,82	169312,72	118871,48	0	0	0	1	1	748,5	1	1	935,92																																																																
Mofa	Kona	1	1	1	4	2	4,87		4,4		4,47		5,63	0,71	0,23	8,99	31076,39	23130,44	0	0	0	1	1	820,17	0,92	1	895,5																																																																
Moos	Saas	1	0	0	4	1	1,26	0,54	1,57	0,84	4,14	1,49	5,67	0,73	5,52	23,12	86560,13	82294,63	1	1	0	1	1	753,08	1	1	844																																																																
Möwe	Hüwe	1	1	0	4	2	4,13		1,2		4,67		5,83	0,56	3,08	5,14	165130,87	146402,94	1	1	1	0,5	0,45	885,5	1	1	974,67																																																																
Rabe	Sare	1	1	0	4	2	4,07		1,4		4,47		5,92	0,28	4,31	22,69	196472,96	150953,02	1	1	1	0,75	0,73	909,5	1	1	871,33																																																																
Säge	Hige	1	1	1	4	2	4,63	1,5	5,56	0,73	4,44	1,41	5,69	0,6	2,81	11,13	222774,39	165767,83	0	0	0	0,83	0,82	844,83	1	1	777,58																																																																
Seil	Mieb	1	0	1	4	1	1,38	0,62	4,25	1,34	3,81	1,72	5,69	1,01	7,49	29,11	139786,43	49556	0	0	0	1	1	785,42	0,83	0,82	949,33																																																																
Tuba	Pusa	1	1	1	4	2	5,38		4,25		3,69		5	1,3	0,58	14,98	21635,04	15420,79	0	0	0	1	1	631,42	1	1	888,58																																																																
Ahorn	Amirn	1	0	0	5	2	1,39	0,72	1,65	0,93	4,57	1,4	5,38	1,07	0,62	4,71	248483,77	220266,29	1	1	0	1	1	763,25	1	1	924																																																																
Amsel	Mudel	1	1	0	5	2	4,5	1,46	1,25	0,58	4,25	1,48	5,5	0,89	1,52	4,71	101323,01	41957,69	1	1	1	0,75	0,73	855,25	1	1	857,83																																																																
Angel	Arsel	1	0	1	5	2	1,44	0,62	5,33	1,08	4,61	1,33	5,67	0,77	4,62	16,7	167294,41	58319,57	0	0	0	0,92	0,91	835,33	0,75	0,73	819,42																																																																
Atlas	Nulos	1	0	1	5	2	1,26	0,62	4,26	1,42	4,62	1,36	5,48	0,87	3,64	3,42	123118,48	99857,17	0	0	0	0,92	0,91	722,83	0,75	0,82	857,08																																																																
Biber	Mäber	1	0	0	5	2	1,87		1,53		4,6		5,05	1,32	1,55	13,7	343016,31	224557,62	1	1	1	0,92	0,91	842,17	1	1	800,67																																																																
Buche	Ruste	1	0	0	5	2	1,48	0,73	1,61	0,66	3,95	1,43	5,57	0,6	14,4	17,55	334360,42	198109,46	1	1	0	1	1	709,17	1	1	812,58																																																																
Cello	Jillo	1	1	1	5	2	5,44		4,5		4,19		4,95	1,53	1,01	14,55	63797,19	16323,78	0	0	0	1	1	676,25	1	1	792,83																																																																
Dachs	Zochs	1	0	0	5	1	1,74	0,92	1,22	0,52	4,38	1,66	5,38	1,2	2,43	12,84	232832,72	103223,41	1	1	1	0,92	0,91	816	1	1	814,67																																																																
Dolch	Dohns	1	0	1	5	1	1,7	0,93	4,52	1,41	4,71	1,45	5,1	1,18	3,59	6,85	203045,83	100260,98	0	0	0	1	1	1019,58	0,83	0,91	878,67																																																																
Eiche	Jäche	1	0	0	5	2	1,78	0,87	1,71	0,81	4,39	1,47	5,36	0,92	3,08	12,41	372137,3	234035,87	1	1	0	1	1	728,5	1	1	763,67																																																																
Flöte	Drüte	1	1	1	5	2	5,67	0,77	5,22	1,11	3,94	1,47	5,78	0,73	4,43	7,28	224827,71	166939,28	0	0	0	1	1	709,58	1	1	843,42																																																																
Fluss	Strub	1	1	0	5	1	4	1,14	2,06	0,8	4,33	1,5	5,89	0,47	37,56	4,71	113581,57	80248,38	1	0	0	0,75	0,73	853,83	0,75	0,73	859,58																																																																
Flyer	Blöer	1	0	1	5	2	1,48	0,95	4,52	1,16	4,33	1,65	5,62	0,86	0,07	2,57	290928,11	204613,56	0	0	0	1	1	714,58	0,67	0,73	988,08																																																																
Gecko	Gesky	1	0	0	5	2	1,56	0,63	1,19	0,4	4,19	1,47	5	1,37	0,14	2,57	50567,82	32167,55	1	1	1	0,75	0,73	815,42	1	1	773,17																																																																
Geige	Feise	1	1	1	5	2	5,53		4		4,2		5,96	0,2	7,01	14,13	322487,19	173255,94	0	0	0	1	1	690,33	1	1	764,33																																																																
Handy	Kangy	1	1	1	5	2	4,38		5,38		4,25		6	0	0,73	11,13	120598,99	27252,05	0	0	0	1	1	861,42	1	1	744,67																																																																
Harfe	Marme	1	1	1	5	2	5,67	0,84	5,17	1,29	4,11	1,68	5,61	0,78	1,77	6,85	182450,87	148418,58	0	0	0	1	1	726,25	1	1	730,58																																																																
Henne	Nenze	1	1	0	5	2	4,28	0,96	2	1,24	4,22	1,66	5,44	1,1	2,87	22,26	384208,85	166204,42	1	1	1	0,67	0,64	875,83	0,92	0,91	930,5																																																																
Höhle	Tühle	1	0	0	5	2	1,65	0,71	2,17	1,34	4,24	1,48	5,67	0,73	12,97	8,56	183347,34	149830,44	1	0	0	1	1	787,5	1	1	1074,58																																																																
Käfer	Sifer	1	0	0	5	2	1,73		1,8		4,33		6	0	5,84	5,14	303140,95	207715,55	1	1	1																																																																						
Kajak	Tajah	1	0	1	5	2	1,4		4,67		4,13		4,52	1,54	0,11	4,71	24710,58	21500,11	0	0	0	1	1	926,67	0,75	0,82	951,25																																																																
Knopf	Dropf	1	0	1	5	1	1,25	0,77	4,63	1,63	4,13	1,59	5,88	0,5	11,42	7,28	34492,72	25294,62	0	0	0	1	1	795,08	0,83	0,82	997,08																																																																
Krähe	Knöhe	1	1	0	5	2	5		1,33		4,6		5,79	0,66	3,16	4,71	199614,58	156825,22	1	1	1	1	1	841,33	1	1	919																																																																
Kröte	Klüte	1	1	0	5	2	4,39	1,09	1,33	0,59	4,5	1,38	5,5	0,79	2,13	3,42	228226,58	169722,04	1	1	1	0,83	0,82	883,5	0,92	0,91	828,33																																																																
Küken	Böken	1	1	0	5	2	3,78	1,4	1,78	0,88	5,11	1,02	5,61	0,92	1	3,85	400003,28	341377,47	1	1	1	0,83	0,82	978,67	1	1	914,17																																																																
Lanze	Kanfe	1	0	1	5	2	1,71	0,92	4,83	1,58	4,28	1,49	4,83	1,58	3,79	12,41	202588,19	150058,73	0	0	0	1	1	836,17	0,83	0,82	832,08																																																																
Mango	Kando	1	0	1	5	2	1,33		4		4,4		5,96	0,2	0,2	14,98	108727,29	32688,65	1	0	0	1	1	898,25	0,67	0,73	971,92																																																																
Maske	Toske	1	0	1	5	2	1,13	0,34	4,25	1,61	5,13	1,09	5,19	1,52	16,23	14,98	184854,71	152558,98	0	0	0	1	1	727,42	0,92	0,91	992																																																																
Milbe	Holbe	1	0	0	5	2	1	0	1,39	0,85	3,39	1,97	5	1,33	0,74	4,28	207951,66	153603,08	1	1	1	1	1	743,67	1	1	841,17																																																																
Mixer	Topeh	1	1	1	5	2	5,48	0,98	5,16	1,12	4	1,33	5,71	0,64	0,49	5,57	296065,73	209788,37	0	0	0	1	1	789,17	1	1	746,5																																																																
Moped	Wiver	1	1	1	5	2	5,38	0,89	5,44	0,81	4,81	1,22	5,75	0,77	0,64	1,28	71484,35	55515,62	0	0	0	1	1	733,17	0,92	1	852,58																																																																
Nelke	Zilke	1	0	0	5	2	1	0	1,91	0,79	4,33	1,35	5,19	0,93	2,61	7,71	182039,59	141120,9	1	1	0	1	1	736	1	1	915,5																																																																
Paket	Nalet	1	0	1	5	2	1,31	0,6	4,63	1,67	4	1,55	5,81	0,54	14,26	7,28	131761,91	102329,97	0	0	0	0,83	0,82	906,67	0,83	0,82	1059,83																																																																
Palme	Parne	1	0	0	5	2	1		1,8		4,93		5,96	0,2	5,87	10,27	190942,47	145987	1	1	0	1	1	717,83	1	1	842																																																																
Pferd	Pfeks	1	1	1	5	1	3,93		3,93		4,93		6	0	76,31	6,42	241229,19	59237,11	1	1	1	0,75	0,73	799,83	0,5	0,45	826,83																																																																
Pille	Zülle	1	0	1	5	2	1,13	0,34	5	1,21	3,81	1,64	5,75	0,58	3,58	15,41	204325,11	159377,6	0	0	0	1	1	765,75	0,83	0,91	1000,67																																																																
Raupe	Niepe	1	0	0	5	2	1,4		1,6		4,6		5,92	0,28	5,13	10,27	178274,88	143287,2	1	1	1	1	1	843,5	0,92	1	870,75																																																																
Rinne	Binze	1	0	0	5	2	1,87	0,92	2,13	1,25	3,38	1,6	4,86	1,28	2,19	10,27	278930,07	159931,43	0	0	0	1	1	883,83	1	1	1054,83																																																																
Rotor	Wotar	1	1	0	5	2	4,29	1,4	2,94	1,71	3,06	1,43	4,11	1,45	0,41	3	149348,45	125917,37	0	0	0	0,58	0,64	909	0,83	0,82	1064,92																																																																
Säule	Sotle	1	0	0	5	2	1,13		1,6		4,4		5,83	0,64	14,5	8,13	193991,8	164605,62	0	0	0	1	1	769,25	1	1	825,75																																																																
Schaf	Spraf	1	1	0	5	1	4,67		2,33		4,87		5,96	0,2	10,38	13,7	198223,21	58366,16	1	1	1	0,92	0,91	900,42	0,75	0,82	841,42																																																																
Schal	Sprig	1	0	1	5	1	1,17	0,58	4,7	1,15	4,33	1,53	5,95	0,22	3,55	17,12	221808,41	63094,77	0	0	0	1	1	794,58	0,83	0,82	956,83																																																																
Seife	Meime	1	0	1	5	2	1,39	0,72	5,13	0,97	3,29	1,59	5,9	0,3	7,71	8,99	260060,75	164661,33	0	0	0	1	1	808,42	0,92	0,91	1049,42																																																																
Spatz	Spags	1	1	0	5	1	3,93		1,53		4,53		6	0	2,62	5,99	63816,22	36237,59	1	1	1	0,67	0,64	815,92	1	1	761,75																																																																
Tanne	Hanbe	1	0	0	5	2	1,4		1,73		4,87		5,96	0,2	3,51	18,84	245423,49	164258,1	1	1	0	1	1	711,92	1	1	825,33																																																																
Taube	Zaure	1	1	0	5	2	3,81	1,38	1,63	0,62	4,31	1,54	5,75	0,45	8,73	11,56	218095,09	145714,91	1	1	1	0,67	0,64	912,83	0,92	0,91	898,58																																																																
Tröte	Präte	1	1	1	5	2	5,81	0,68	5,16	1,21	2,32	1,16	4,81	1,54	8,55	7,19	213346,94	123603,37	0	0	0	1	1	753	1	1	840,08																																																																
Zange	Nanke	1	0	1	5	2	1,06		5		4,19		5,83	0,48	3,65	16,27	283151,32	162872,83	0	0	0	0,92	0,91	970,5	1	1	749,25																																																																
Ziege	Giede	1	1	0	5	2	4,53		1,93		4,53		5,96	0,2	5,98	9,85	294312,84	154217,2	1	1	1	0,83	0,82	927,17	1	1	934,75																																																																
Auster	Pucher	1	0	0	6	2	1,19	0,4	1,94	0,77	3,69	1,49	4,81	1,38	3,38	11,99	444581,63	251413,8	1	1	0	1	1	705,08	0,83	0,82	833,5																																																																
Balken	Sarken	1	0	0	6	2	1		2,13		3,4		5,75	0,68	7,75	16,27	433579,29	347883,16	0	0	0	1	1	760,42	0,83	0,82	1051,58																																																																
Banane	Takafe	1	0	1	6	3	1,2		4,2		4,73		5,96	0,2	3,26	4,71	293302,58	165739,01	1	0	0	1	1	770,5	0,67	0,64	966,58																																																																
Bohrer	Sährer	1	1	1	6	2	5,44	0,78	5,56	0,7	3,83	1,15	5,61	0,85	1,24	5,14	359740,26	220845,53	0	0	0	1	1	756,25	0,92	0,91	693,42																																																																
Böller	Wäller	1	1	1	6	2	5,72	0,67	4,78	1,48	3,06	1,92	5,56	1,04	0,43	10,7	347302,57	222736,89	0	0	0	1	1	743	1	1	843,33																																																																
Dusche	Dustre	1	1	1	6	2	4,14	1,31	5,58	0,69	4,26	1,52	6	0	2,41	9,42	380032,24	228097,12	0	0	0	0,83	0,82	975,92	0,92	0,91	827																																																																
Fagott	Fasont	1	1	1	6	2	5,71	0,59	5,11	1,37	3,72	1,49	4,94	1,39	0,92	2,57	124443,12	101163,06	0	0	0	0,92	0,91	698,58	1	1	794,17																																																																
Ferkel	Dergel	1	1	0	6	2	3,94	1,26	1,78	0,88	4,5	1,2	5,5	0,92	1,64	3,42	241927,99	37999,57	1	1	1	0,83	0,82	878,08	1	1	982,67																																																																
Fichte	Gächte	1	0	0	6	2	1,48	0,67	1,48	0,67	4,43	1,29	5,38	0,92	10,82	10,7	425135,08	240753,15	1	1	0	1	1	679,25	1	1	850																																																																
Flinte	Prente	1	1	1	6	2	4,89	1,18	4,83	1,2	4,06	1,39	5	1,28	2,59	4,28	350506,5	179908,11	0	0	0	0,92	0,91	845,25	1	1	880,67																																																																
Frosch	Blosch	1	1	0	6	1	4,17	1,59	1,57	0,9	4,33	1,46	5,57	1,08	6,65	7,28	234599,06	130504,36	1	1	1	0,75	0,73	825,83	1	1	791,75																																																																
Geläut	Gesäun	1	1	0	6	2	5,44	1,21	3,07	1,94	1,6	1,12	4,56	1,31	1,55	1,28	152635,03	111973,73	0	0	0	0,92	0,91	770,33	0,5	0,45	1024,67																																																																
Gewehr	Gewark	1	1	1	6	2	5,28	0,89	5,33	1,03	4,44	1,1	5,33	1,19	17,49	5,14	193492,36	146107,31	0	0	0	1	1	717,92	1	1	811,83																																																																
Grille	Blolle	1	1	0	6	2	4,7	1,61	1,3	0,47	2,43	1,54	5,29	0,96	2,48	7,71	231508,7	166799,18	1	1	1	0,83	0,82	748,75	1	1	905																																																																
Gürtel	Pirtel	1	0	1	6	2	1,78	1	4,91	1,04	4,43	1,4	5,86	0,36	6,79	4,71	164429,93	44993,08	0	0	0	1	1	776,25	1	1	842,75																																																																
Hummel	Runnel	1	1	0	6	2	4,6		1,53		4,6		5,92	0,28	2,38	9,85	92038,51	36773,15	1	1	1	0,75	0,73	766,17	1	1	904,42																																																																
Kanone	Tamofe	1	1	1	6	3	5,5	0,79	4,61	1,33	4,22	1,44	5,33	1,19	8,4	6,42	265770,83	162179,83	0	0	0	1	1	796,25	0,83	0,91	897,75																																																																
Kleber	Knerer	1	0	1	6	2	1	0	4,94	1	2,89	1,78	5,72	0,75	0,62	8,99	376563,23	225925,55	0	0	0	0,83	0,91	813,42	0,92	0,91	863,58																																																																
Knarre	Zwarbe	1	1	1	6	2	4,94	1	5,28	0,96	4,22	1,26	5,06	1,3	1,19	3	223153,35	153458,27	0	0	0	1	1	814,08	1	1	754																																																																
Krücke	Prüpfe	1	0	1	6	2	1,96	1,07	5,17	0,94	4,43	1,43	5,38	0,92	2,67	4,28	176085,32	154947,39	0	0	0	0,92	0,91	1044,42	0,83	0,82	955,25																																																																
Kuchen	Dusten	1	0	1	6	2	1,33	0,59	4,89	1,08	3,83	1,5	5,83	0,51	9,59	12,84	571890,6	395254,39	0	0	0	1	1	731,42	0,75	0,73	1084,58																																																																
Kuvert	Pujert	1	0	1	6	2	1,59	1,06	4,53	1,66	4,29	1,4	5,17	1,38	2,31	3	298509,24	124922,4	0	0	0	0,92	0,91	884,92	0,75	0,73	993,75																																																																
Lawine	Hanife	1	1	0	6	3	4,19	1,36	1,47	0,77	4,79	1,47	4,71	1,71	2,24	2,57	279946,51	176947,94	1	0	0	0,58	0,64	1065,83	1	1	895,58																																																																
Löffel	Noffel	1	0	1	6	2	1,06		5,5		4,31		6	0	11,14	2,14	67835,85	31482,62	0	0	0	0,92	0,91	771,58	0,92	0,91	872,83																																																																
Marder	Harser	1	0	0	6	2	1,87	1,1	1,39	0,72	3,71	1,52	5,43	0,81	0,63	10,7	432365,2	263332,01	1	1	1	1	1	865,67	0,92	0,91	788,92																																																																
