variable	low_sound_T	low_sound_p_raw	low_sound_p_corrected	high_sound_T	high_sound_p_raw	high_sound_p_corrected	low_action_T	low_action_p_raw	low_action_p_corrected	high_action_T	high_action_p_raw	high_action_p_corrected
word_length	1.9702	0.05076	0.20473	0.0	1.0	1.0	0.1708	0.86463	0.92001	1.8477	0.06673	0.3114
log10_word_frequency_sdewac	-0.2482	0.80436	0.9526	0.0	1.0	1.0	-0.1006	0.92001	0.92001	-0.0787	0.93736	0.93736
word_average_bigram_frequency	0.19	0.84962	0.9526	0.0	1.0	1.0	0.6205	0.53591	0.92001	-1.1882	0.23676	0.55243
word_average_trigram_frequency	1.9247	0.05626	0.20473	0.0	1.0	1.0	1.0284	0.30552	0.89976	-0.219	0.82698	0.93736
old20_score	1.9702	0.05076	0.20473	0.0	1.0	1.0	0.1708	0.86463	0.92001	1.8477	0.06673	0.3114
predicted_concreteness	1.2474	0.21431	0.47618	0.0	1.0	1.0	-1.6792	0.09531	0.89976	1.2767	0.20378	0.55243
predicted_visual	-0.591	0.55546	0.77765	0.0	1.0	1.0	-0.8161	0.41584	0.92001	-0.2167	0.82878	0.93736
predicted_gustatory	1.2409	0.21668	0.47618	0.0	1.0	1.0	0.1489	0.88181	0.92001	0.8842	0.3781	0.67786
predicted_olfactory	1.9073	0.0585	0.20473	0.0	1.0	1.0	1.3971	0.16455	0.89976	0.8671	0.38735	0.67786
predicted_auditory	0.0426	0.96604	0.96604	0.0	1.0	1.0	0.4494	0.65384	0.92001	0.1084	0.91384	0.93736
predicted_hand	-0.8206	0.41324	0.72317	0.0	1.0	1.0	-0.9952	0.32134	0.89976	-0.1942	0.8463	0.93736
predicted_valence	0.7295	0.46687	0.72625	0.0	1.0	1.0	1.0678	0.28744	0.89976	1.4628	0.14574	0.51009
predicted_arousal	-1.1848	0.23809	0.47618	0.0	1.0	1.0	0.4897	0.62511	0.92001	-1.9737	0.05036	0.3114
predicted_dominance	-0.1455	0.88455	0.9526	0.0	1.0	1.0	0.4381	0.662	0.92001	0.6271	0.53163	0.82698
