variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.7024	1.2515	6.9048	1.8937	-0.8123	0.41779	0.58491	6.631	1.4863	6.9762	1.7042	-1.3909	0.1661	0.38758
log10_word_frequency_sdewac	2.891	0.4978	2.9272	0.5579	-0.442	0.65906	0.70975	2.9561	0.5078	2.8621	0.5455	1.1486	0.25238	0.50475
word_average_bigram_frequency	23871347.4581	15340170.3405	23071760.2779	14690903.2546	0.343	0.73206	0.73206	22983059.0064	15334856.3184	23960048.7295	14691087.8283	-0.4191	0.67566	0.77027
word_average_trigram_frequency	2478316.8302	3129385.8782	2039781.2699	2166355.6416	1.0497	0.29538	0.51691	2145912.6737	2310640.2629	2372185.4264	3036058.523	-0.5403	0.58971	0.75054
old20_score	6.7024	1.2515	6.9048	1.8937	-0.8123	0.41779	0.58491	6.631	1.4863	6.9762	1.7042	-1.3909	0.1661	0.38758
predicted_concreteness	1.5097	0.4729	1.6813	0.5887	-2.0702	0.03998	0.11196	1.6108	0.4817	1.5801	0.5937	0.3654	0.71525	0.77027
predicted_visual	0.8685	0.8654	0.2885	1.0553	3.8722	0.00015	0.00108	0.7673	0.8446	0.3897	1.1163	2.4582	0.01499	0.06996
predicted_gustatory	0.4094	1.8233	-0.2644	0.7979	3.0846	0.00239	0.01114	-0.0071	0.9452	0.1521	1.8116	-0.7095	0.47898	0.67058
predicted_olfactory	0.4248	1.647	0.1045	0.8654	1.5684	0.1187	0.2374	0.4108	0.9113	0.1185	1.6246	1.4297	0.15467	0.38758
predicted_auditory	-1.0584	0.6997	1.0808	0.7801	-18.5969	0.0	0.0	0.0231	1.159	-0.0008	1.4292	0.1185	0.90579	0.90579
predicted_hand	0.5436	1.2217	0.435	1.3298	0.5478	0.5846	0.70975	-0.4525	0.6367	1.4312	1.0427	-14.047	0.0	0.0
predicted_valence	0.3859	0.7795	0.335	0.6861	0.4464	0.6559	0.70975	0.4164	0.7206	0.3045	0.7444	0.9845	0.32631	0.57104
predicted_arousal	-0.2424	1.0743	0.197	0.9074	-2.8465	0.00498	0.01742	-0.0887	0.9807	0.0434	1.0505	-0.8373	0.40364	0.62788
predicted_dominance	0.2125	0.7645	0.0388	0.6459	1.5811	0.11575	0.2374	-0.0224	0.709	0.2738	0.6857	-2.7366	0.00688	0.04818
