variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.5476	1.2668	6.6786	1.9467	-0.5137	0.60817	0.65495	6.631	1.6093	6.5952	1.677	0.14	0.88884	0.95721
log10_word_frequency_sdewac	2.9571	0.5047	3.051	0.703	-0.9882	0.32448	0.50475	3.0439	0.6004	2.9641	0.6242	0.8389	0.40272	0.80544
word_average_bigram_frequency	24159051.8485	16206170.8631	23668769.8039	16874678.8522	0.1909	0.84883	0.84883	23543064.8073	17464419.6624	24284756.8451	15563866.5173	-0.2889	0.77306	0.95721
word_average_trigram_frequency	1987202.302	2187505.6546	2298071.9767	3271264.2108	-0.7197	0.47273	0.60166	2031782.4039	2361623.778	2253491.8748	3151638.6356	-0.5129	0.60872	0.95721
old20_score	6.5476	1.2668	6.6786	1.9467	-0.5137	0.60817	0.65495	6.631	1.6093	6.5952	1.677	0.14	0.88884	0.95721
predicted_concreteness	1.5252	0.4313	1.6487	0.6075	-1.5107	0.13275	0.26551	1.5874	0.4802	1.5865	0.5763	0.0116	0.99079	0.99079
predicted_visual	0.9185	0.836	0.375	1.0886	3.607	0.00041	0.00204	0.873	0.9488	0.4205	1.0144	2.9685	0.00344	0.02405
predicted_gustatory	0.5055	1.781	-0.2198	0.8462	3.3511	0.001	0.00349	0.1093	1.1256	0.1763	1.6976	-0.2994	0.76504	0.95721
predicted_olfactory	0.3979	1.5174	0.199	0.8515	1.0415	0.29914	0.50475	0.4903	0.9873	0.1066	1.4138	2.0269	0.04427	0.15495
predicted_auditory	-1.1814	0.6645	0.9961	0.7996	-19.0798	0.0	0.0	-0.1337	1.2744	-0.0516	1.3506	-0.4031	0.68738	0.95721
predicted_hand	0.5514	1.2693	0.3871	1.3763	0.7994	0.42523	0.59532	-0.5406	0.6835	1.4792	1.0059	-15.1296	0.0	0.0
predicted_valence	0.4593	0.7927	0.2306	0.7249	1.9395	0.05413	0.12631	0.444	0.6639	0.2459	0.8483	1.6752	0.09577	0.26817
predicted_arousal	-0.2756	0.9569	0.2588	0.9617	-3.5886	0.00044	0.00204	-0.0795	0.9248	0.0628	1.0574	-0.923	0.35737	0.80544
predicted_dominance	0.2564	0.8069	0.0119	0.7261	2.0521	0.04173	0.11683	-0.0135	0.7238	0.2819	0.8005	-2.494	0.01361	0.06351
