variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.3611	1.1821	6.4583	1.6067	-0.4107	0.68192	0.74871	6.4167	1.3411	6.4028	1.4782	0.0586	0.95333	0.95399
log10_word_frequency_sdewac	3.0325	0.5871	3.1072	0.6171	-0.739	0.46111	0.62153	3.0587	0.4913	3.081	0.6976	-0.2202	0.82605	0.95399
word_average_bigram_frequency	22761636.8949	15753532.1943	25284659.4583	16168722.8482	-0.9417	0.34792	0.60294	23891768.9156	16118983.8894	24154527.4376	15903711.3253	-0.0978	0.92225	0.95399
word_average_trigram_frequency	2271581.5185	3163364.6536	2402842.1131	2556476.1772	-0.2719	0.78607	0.78607	2256155.0538	2227827.0745	2418268.5778	3402162.1326	-0.3359	0.73744	0.95399
old20_score	2.6299	0.6818	2.7132	0.7461	-0.6947	0.48835	0.62153	2.6681	0.6032	2.675	0.8131	-0.0578	0.95399	0.95399
predicted_concreteness	1.5746	0.3617	1.503	0.5946	0.8666	0.38761	0.60294	1.5176	0.4944	1.5601	0.4916	-0.514	0.60806	0.95399
predicted_visual	0.8888	0.7936	0.1534	1.0884	4.6003	1e-05	6e-05	0.7206	0.84	0.3216	1.14	2.3743	0.01892	0.08829
predicted_gustatory	0.5038	1.872	-0.1733	0.7811	2.8126	0.00561	0.01964	-0.0518	0.762	0.3823	1.9154	-1.7744	0.07814	0.27348
predicted_olfactory	0.556	1.469	0.2248	0.8436	1.647	0.10176	0.28493	0.4348	0.7705	0.346	1.5254	0.4382	0.6619	0.95399
predicted_auditory	-1.1208	0.5687	1.0431	0.7424	-19.4971	0.0	0.0	-0.0771	1.1003	-0.0005	1.415	-0.3604	0.71908	0.95399
predicted_hand	0.5401	1.264	0.3556	1.1265	0.9185	0.35992	0.60294	-0.4852	0.6853	1.3809	0.8203	-14.7102	0.0	0.0
predicted_valence	0.4258	0.8061	0.3772	0.6635	0.3926	0.69523	0.74871	0.3209	0.7126	0.4821	0.7552	-1.3081	0.19294	0.54023
predicted_arousal	-0.4088	0.9745	0.1674	0.9692	-3.5327	0.00056	0.00259	-0.0346	1.1077	-0.2069	0.9017	1.0165	0.31111	0.72591
predicted_dominance	0.2507	0.8892	0.092	0.747	1.1521	0.25123	0.58621	-0.1298	0.7818	0.4725	0.754	-4.6727	1e-05	5e-05
