variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	7.0595	1.0562	6.9643	1.742	0.6042	0.54615	0.54615	6.9583	1.4612	7.0655	1.419	-0.6798	0.49712	0.79002
log10_word_frequency_sdewac	2.8914	0.5187	2.9634	0.5959	-1.179	0.23923	0.37214	2.9477	0.5162	2.9071	0.5996	0.6629	0.50787	0.79002
word_average_bigram_frequency	26205730.8971	15332562.361	24806016.9587	16033537.0584	0.8153	0.41545	0.4847	25911114.399	16618295.3605	25100633.4568	14718872.1831	0.4718	0.63738	0.79947
word_average_trigram_frequency	2523373.7252	2309293.0174	2259910.7912	2714629.6066	0.9553	0.34012	0.43287	2469156.1166	2439897.0327	2314128.3998	2602237.5321	0.5616	0.57475	0.79947
old20_score	7.0595	1.0562	6.9643	1.742	0.6042	0.54615	0.54615	6.9583	1.4612	7.0655	1.419	-0.6798	0.49712	0.79002
predicted_concreteness	1.5405	0.416	1.4665	0.4512	1.5575	0.1203	0.21053	1.4508	0.389	1.5562	0.4717	-2.2274	0.02659	0.09305
predicted_visual	1.0191	0.8193	0.3484	1.0185	6.6309	0.0	0.0	0.7618	0.8329	0.6057	1.108	1.4546	0.14672	0.41081
predicted_gustatory	0.5677	1.8165	-0.1973	0.7877	4.9931	0.0	0.0	0.1837	1.0354	0.1866	1.7722	-0.0179	0.98575	0.98575
predicted_olfactory	0.6024	1.584	0.1326	0.8696	3.3594	0.00087	0.00244	0.5614	1.0055	0.1737	1.5131	2.758	0.00614	0.02863
predicted_auditory	-1.2714	0.6654	1.0036	0.7342	-29.6698	0.0	0.0	-0.0788	1.2254	-0.189	1.436	0.7543	0.45121	0.79002
predicted_hand	0.6134	1.3561	0.4662	1.2996	1.0133	0.31165	0.43287	-0.5794	0.5492	1.659	0.8555	-28.455	0.0	0.0
predicted_valence	0.4239	0.7825	0.2743	0.6772	1.8684	0.06258	0.12515	0.3581	0.6812	0.3401	0.7861	0.2226	0.82396	0.88735
predicted_arousal	-0.4558	1.0332	0.1318	0.9461	-5.4203	0.0	0.0	-0.1391	1.0119	-0.1849	1.0537	0.4056	0.68526	0.79947
predicted_dominance	0.2469	0.8264	0.0428	0.6809	2.4634	0.01427	0.03329	-0.0777	0.6937	0.3675	0.7662	-5.5667	0.0	0.0
