variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	7.0573	1.2084	7.0885	2.254	-0.1689	0.86599	0.86599	7.125	1.8778	7.0208	1.7349	0.5631	0.57369	0.67961
log10_word_frequency_sdewac	2.9046	0.5155	2.9927	0.6684	-1.4432	0.14978	0.26212	2.9868	0.547	2.9104	0.6436	1.2504	0.21193	0.49451
word_average_bigram_frequency	26908021.9727	15822521.3531	25060939.2155	16341083.994	1.1223	0.26245	0.35833	26525336.5783	16698795.5113	25443624.6098	15480770.1198	0.6565	0.51188	0.67961
word_average_trigram_frequency	2639168.0501	2492189.6773	2351253.9419	2721052.8892	1.0784	0.28155	0.35833	2589991.953	2559500.8116	2400430.039	2662249.841	0.7094	0.47852	0.67961
old20_score	7.0573	1.2084	7.0885	2.254	-0.1689	0.86599	0.86599	7.125	1.8778	7.0208	1.7349	0.5631	0.57369	0.67961
predicted_concreteness	1.4992	0.45	1.4652	0.4533	0.7352	0.46268	0.53979	1.4447	0.3956	1.5196	0.4993	-1.6251	0.10496	0.29388
predicted_visual	0.9774	0.8428	0.3422	1.0276	6.6054	0.0	0.0	0.7555	0.8234	0.564	1.1277	1.8953	0.0588	0.2058
predicted_gustatory	0.5164	1.7843	-0.204	0.7738	5.1191	0.0	0.0	0.1667	1.086	0.1457	1.6919	0.1442	0.88543	0.88543
predicted_olfactory	0.559	1.5536	0.1756	0.8624	2.9823	0.00304	0.00852	0.577	1.005	0.1576	1.4604	3.2698	0.00117	0.00548
predicted_auditory	-1.25	0.6798	0.9566	0.7583	-29.9445	0.0	0.0	-0.1096	1.2142	-0.1838	1.4123	0.5502	0.58252	0.67961
predicted_hand	0.5704	1.3247	0.4215	1.3098	1.1045	0.27006	0.35833	-0.6064	0.5544	1.5982	0.8624	-29.72	0.0	0.0
predicted_valence	0.4082	0.7731	0.2783	0.7239	1.6949	0.0909	0.1818	0.3672	0.7071	0.3194	0.7931	0.6217	0.53453	0.67961
predicted_arousal	-0.4726	0.9945	0.1511	0.93	-6.3314	0.0	0.0	-0.1834	0.9815	-0.1381	1.0411	-0.4378	0.66177	0.71268
predicted_dominance	0.2328	0.8218	0.0235	0.7026	2.6755	0.00778	0.01816	-0.079	0.7136	0.3353	0.7719	-5.4457	0.0	0.0
