variable	low_sound_avg_zscore	low_sound_std	high_sound_avg_zscore	high_sound_std	sound_T	sound_p_raw	sound_p_corrected	low_action_avg_zscore	low_action_std	high_action_avg_zscore	high_action_std	action_T	action_p_raw	action_p_corrected
word_length	6.9881	0.7637	7.1667	0.9616	-1.3249	0.18703	0.37406	7.0714	0.8835	7.0833	0.862	-0.0879	0.93009	0.98315
log10_word_frequency_sdewac	2.8842	0.488	2.9498	0.5936	-0.7772	0.43814	0.55763	2.8912	0.4323	2.9428	0.6359	-0.6122	0.54122	0.98315
word_average_bigram_frequency	27296315.3044	15906585.3907	24553815.3964	15866297.5596	1.1121	0.2677	0.41643	25493998.5023	16580878.6636	26356132.1986	15271618.6241	-0.3484	0.72796	0.98315
word_average_trigram_frequency	2728690.7108	2385656.8453	2552839.2512	3288675.2338	0.3943	0.69385	0.69385	2674979.9635	2726378.5053	2606549.9986	3014419.3737	0.1534	0.87828	0.98315
old20_score	6.9881	0.7637	7.1667	0.9616	-1.3249	0.18703	0.37406	7.0714	0.8835	7.0833	0.862	-0.0879	0.93009	0.98315
predicted_concreteness	1.4623	0.3447	1.4245	0.4098	0.6435	0.52079	0.56249	1.4476	0.346	1.4392	0.4095	0.1426	0.88676	0.98315
predicted_visual	0.9117	0.8342	0.3301	0.9333	4.2326	4e-05	0.00021	0.6751	0.8541	0.5667	1.0004	0.751	0.45372	0.98315
predicted_gustatory	0.6163	1.717	-0.2555	0.8001	4.1929	4e-05	0.00021	0.2545	1.144	0.1063	1.6274	0.679	0.49808	0.98315
predicted_olfactory	0.7295	1.6265	0.0097	0.8227	3.5976	0.00042	0.00119	0.64	1.132	0.0992	1.4675	2.6585	0.00862	0.04021
predicted_auditory	-1.2729	0.5837	1.0068	0.7933	-21.0894	0.0	0.0	-0.1047	1.3198	-0.1614	1.3509	0.2735	0.78484	0.98315
predicted_hand	0.5801	1.2419	0.4054	1.1792	0.9293	0.35408	0.49572	-0.5566	0.5179	1.5421	0.6912	-22.1374	0.0	0.0
predicted_valence	0.3017	0.8507	0.2275	0.6244	0.6412	0.52231	0.56249	0.2316	0.6692	0.2976	0.8163	-0.5697	0.56963	0.98315
predicted_arousal	-0.3723	1.1241	0.2006	0.9181	-3.5964	0.00043	0.00119	-0.0876	1.0601	-0.0841	1.0709	-0.0212	0.98315	0.98315
predicted_dominance	0.137	0.8695	0.0017	0.6195	1.1548	0.24983	0.41643	-0.1923	0.6066	0.3311	0.8025	-4.7403	0.0	3e-05
